Timestamp,BTC,UNI,XMR,VET,USDT,BNB,ETH,MATIC,DOT,DOGE,XRP,SAND,SUSHI
02-01-2022,18904.58581103402,193.64996012109535,246.7232623933571,185.7056305315018,38101.900234817804,820.2626180493886,9948.120591378103,901.5653802468782,650.8063406952845,700.2341046624657,1784.805589729289,587.1570794345766,354.49753045806085
03-01-2022,33756.12824198571,200.98607831763113,171.4572022584469,203.45772416984556,35584.06376997802,1220.807572143435,10069.690529898535,845.0962190563001,1076.7154559372327,767.7705860212304,1750.6963357998545,616.1204409317069,323.1666229756251
04-01-2022,21890.019531577713,349.23583640987164,159.31741064472118,271.1009546457592,49571.17847513844,1155.6055676809767,12462.872357255108,1039.708966398375,1461.7659351203913,719.8696242899628,1965.5499939618894,694.7241811343692,414.7761799583237
05-01-2022,24895.990583663242,367.5297493567232,145.9035897842583,332.6184422772948,52215.82389378333,1866.5476365206503,13853.786397222266,1231.006375874175,1312.1425158722834,733.2293093076789,2130.875732678378,840.4235171803804,601.7073515082652
06-01-2022,31837.641246017873,598.8561124889485,146.0314304136967,730.5452533473793,66142.94385851873,2238.201788509528,18782.873941218313,1565.7341588901518,1517.0141080554445,1228.155231163383,2694.718977663249,1121.1043575474623,661.2719532566608
07-01-2022,26366.602396811766,371.1354071952639,150.9270566009499,421.55878241493974,61506.4679262826,2262.1009481225087,24467.18206300624,1673.500245569265,1281.481231356281,988.2976148153253,2602.668509463569,1419.3864807950204,379.55014022349394
08-01-2022,79685.25464807628,342.1933839076947,168.68793851806822,395.6564221160452,76248.64321762045,2340.8768499235052,24359.36944853183,1612.7827076406836,2220.537714312373,1156.7229024035275,2846.9079074084825,1055.968983616336,537.7842010851258
09-01-2022,23337.017232770664,210.46619729423182,140.28482386944594,301.62178371362256,54020.04290791013,2109.223635283141,15966.769090792395,1142.035788965897,1258.983747847014,758.1712300981503,2189.0236256248218,651.99177362695,296.19848758741506
10-01-2022,18016.718173608613,187.78268085240765,143.60017681566748,244.18591303407538,43865.83249231972,1017.473215748263,11906.478540265389,959.9139934007967,1087.1844191135012,574.0663653737342,1509.0978569053414,630.5193931322249,259.0618696858835
11-01-2022,27984.634062049943,333.2621125922411,135.87586735903608,308.9750587024431,61684.214451083295,2283.995177355379,19655.31471455994,1313.4663317614404,1414.1079862645206,827.2472306210834,2640.1729812978947,870.1702384006287,323.3104721151633
12-01-2022,22813.55739782151,244.06546298323056,137.24355224379732,247.950486201238,62955.34003896522,2693.9239726085098,14922.19536007549,1836.9284390101225,1276.5541835632812,1508.9696845002964,2379.1438402570166,767.5455823803727,251.51408776908013
13-01-2022,28250.302540221022,187.54095395189213,117.21323868459058,280.27998903124677,51924.93203769593,1732.5158940651106,15285.972614674169,1585.5273807266678,1159.7663650459333,870.1509098308384,2662.2305007550985,999.1761058445052,319.7252856672342
14-01-2022,43905.745871292784,197.5450358897999,334.54852664509974,302.18524629500655,51257.92906877951,1836.6553792635216,13999.771252160748,1292.6600316330039,1118.0398380957702,2164.6165627239275,2253.9931885968767,894.687442702382,393.7725955700571
15-01-2022,20238.31443486153,164.79285067984358,227.1360230915693,245.8069739777482,50376.244119025054,1775.644712449493,12316.286854849726,1124.9451498734077,1484.9883174308359,5107.792258865842,2142.88058093607,743.6512135741464,262.7004044221621
16-01-2022,14651.008624734597,172.5482317274185,117.67348146892586,170.93958301172069,36607.36634040375,1511.8051549803547,8659.65846705989,827.1091435144128,915.5177983819831,1719.975696358339,1749.569966297465,410.649094076673,161.9698939428522
17-01-2022,14452.346388550372,283.87639529941833,125.51315480189508,162.11306991888455,37225.946173964825,1332.1076687120556,9002.833937226436,729.3864942676801,1049.8456463621526,1052.4642228560376,1714.842895978317,548.9908846672703,148.95675034613538
18-01-2022,17694.929625845874,228.58549962698308,187.87735186976394,204.64254022704765,45484.203025236595,1711.9722207887721,11938.682376103683,1393.2071534715938,1170.4200061762897,1063.9703486869846,2106.153055463718,561.9377447167942,194.2532362880446
19-01-2022,18897.950050285974,322.5815839643909,147.12281186862404,212.0373004873316,46772.56782610233,1663.2808798601736,12700.15886046528,1259.0207441605185,1087.0044486463796,942.9119035927487,2140.3691668100423,524.3299634537266,178.35842670929827
20-01-2022,19626.11330955414,177.0650257891576,157.47777072413624,184.31101207387985,44980.654361771034,1446.2353049100648,12762.451059939085,1125.6466149631974,957.6575793641649,842.8749798602545,2106.9910822831685,514.9941427667154,201.07629872314715
21-01-2022,20930.163211171122,187.14558932718566,116.94754663934954,202.88862685357608,46245.235378691774,1653.634388745571,13389.58288956651,1174.1662905782857,988.3209110065201,749.5675076226405,2012.4837519288023,579.3215733861883,229.05596046738594
22-01-2022,38296.960033316274,317.04983275441504,184.89724984801512,424.83303952543525,79895.23903454548,3089.4611341418026,29314.647992596838,2012.7527355415568,1979.5445720363819,1306.7561943590274,3571.190454459163,1008.3649414655471,349.50561683730183
23-01-2022,35517.33641725774,441.03158229041907,213.35248151716027,504.47966899084963,85185.40282927398,3590.172456288106,28250.265353796116,2097.9320101501844,2455.3169247197993,1895.2826143690818,4042.933250326968,1308.7603968452659,393.97173294426847
24-01-2022,22865.032968608204,252.83453276665537,128.31474369333966,284.91557396727063,56471.80948407798,2242.21515169818,17123.74195754585,1224.532373447187,1420.6650355397662,1305.1879813694725,2380.836270455122,773.8743034069186,239.70339923636558
25-01-2022,36385.15844860688,345.51353514553296,178.60102907695813,420.12306280900737,80137.05533821914,2644.012029563425,28735.52061997796,1858.8042265058739,1955.6490177112184,1427.9489639205913,3185.161141226754,873.7191227842776,297.71983566205745
